Datetime,Open,High,Low,Close,Next Close
2021-12-31 21:00:00+00:00,45973.98828125,46060.48828125,45969.765625,46060.48828125,46026.31640625
2021-12-31 21:05:00+00:00,46072.96875,46079.28515625,46026.31640625,46026.31640625,45955.0625
2021-12-31 21:10:00+00:00,45973.5390625,45973.5390625,45955.0625,45955.0625,45978.78515625
2021-12-31 21:15:00+00:00,45945.4453125,45978.78515625,45945.4453125,45978.78515625,46009.1796875
2021-12-31 21:20:00+00:00,45983.2265625,46009.1796875,45983.2265625,46009.1796875,46092.57421875
2021-12-31 21:25:00+00:00,46057.45703125,46092.57421875,46057.45703125,46092.57421875,46211.7421875
2021-12-31 21:30:00+00:00,46096.78125,46211.7421875,46096.78125,46211.7421875,46321.6875
2021-12-31 21:35:00+00:00,46224.1796875,46321.6875,46224.1796875,46321.6875,46317.828125
2021-12-31 21:40:00+00:00,46407.80859375,46407.80859375,46310.03125,46317.828125,46296.6796875
2021-12-31 21:45:00+00:00,46311.18359375,46311.18359375,46288.03515625,46296.6796875,46281.21875
2021-12-31 21:50:00+00:00,46292.76953125,46292.76953125,46281.01953125,46281.21875,46298.36328125
2021-12-31 21:55:00+00:00,46279.52734375,46298.36328125,46279.52734375,46298.36328125,46357.9453125
2021-12-31 22:00:00+00:00,46300.8515625,46357.9453125,46300.8515625,46357.9453125,46422.671875
2021-12-31 22:05:00+00:00,46375.75,46427.30078125,46375.75,46422.671875,46510.18359375
2021-12-31 22:10:00+00:00,46445.296875,46510.18359375,46445.296875,46510.18359375,46503.12890625
2021-12-31 22:15:00+00:00,46509.8125,46513.9296875,46503.12890625,46503.12890625,46469.6171875
2021-12-31 22:20:00+00:00,46498.55859375,46498.55859375,46469.6171875,46469.6171875,46457.9296875
2021-12-31 22:25:00+00:00,46479.61328125,46479.61328125,46457.9296875,46457.9296875,46402.1015625
2021-12-31 22:30:00+00:00,46436.65625,46436.65625,46402.1015625,46402.1015625,46369.51953125
2021-12-31 22:35:00+00:00,46400.046875,46400.046875,46369.51953125,46369.51953125,46347.6953125
2021-12-31 22:40:00+00:00,46350.69921875,46350.69921875,46347.6953125,46347.6953125,46411.65234375
2021-12-31 22:45:00+00:00,46334.6171875,46411.65234375,46334.6171875,46411.65234375,46375.7265625
2021-12-31 22:50:00+00:00,46413.578125,46413.578125,46370.5703125,46375.7265625,46406.58984375
2021-12-31 22:55:00+00:00,46420.421875,46420.421875,46406.58984375,46406.58984375,46429.71875
2021-12-31 23:00:00+00:00,46361.1171875,46429.71875,46361.1171875,46429.71875,46440.68359375
2021-12-31 23:05:00+00:00,46430.80078125,46444.71484375,46430.80078125,46440.68359375,46454.28515625
2021-12-31 23:10:00+00:00,46446.29296875,46454.28515625,46446.29296875,46454.28515625,46457.25
2021-12-31 23:15:00+00:00,46459.27734375,46463.34375,46457.25,46457.25,46450.84375
2021-12-31 23:20:00+00:00,46468.67578125,46468.67578125,46450.84375,46450.84375,46447.96875
2021-12-31 23:25:00+00:00,46426.84765625,46447.96875,46426.84765625,46447.96875,46419.390625
2021-12-31 23:30:00+00:00,46440.3828125,46440.3828125,46419.390625,46419.390625,46459.4609375
2021-12-31 23:35:00+00:00,46444.05078125,46459.4609375,46444.05078125,46459.4609375,46452.06640625
2021-12-31 23:40:00+00:00,46445.8515625,46461.09765625,46443.6796875,46452.06640625,46476.41796875
2021-12-31 23:45:00+00:00,46459.69921875,46486.14453125,46459.69921875,46476.41796875,46430.30078125
2021-12-31 23:50:00+00:00,46460.69140625,46460.69140625,46430.30078125,46430.30078125,46328.94140625
2021-12-31 23:55:00+00:00,46386.73046875,46386.73046875,46328.94140625,46328.94140625,46314.47265625
2022-01-01 00:00:00+00:00,46311.74609375,46314.47265625,46288.484375,46314.47265625,46418.9609375
2022-01-01 00:05:00+00:00,46370.93359375,46418.9609375,46363.74609375,46418.9609375,46350.625
2022-01-01 00:10:00+00:00,46410.5,46410.5,46336.9609375,46350.625,46333.90234375
2022-01-01 00:15:00+00:00,46351.34765625,46364.9453125,46333.90234375,46333.90234375,46365.9140625
